Text,Classification
"Re: MIT OpenCourseWareAt 05:38 PM 9/30/2002 +0200, Eugen Leitl wrote:>Looks useful. Hopefully, they'll put up some more material soon.>>         http://ocw.mit.edu/global/all-courses.htmlI'll be sure to keep everyone posted on the next update. :)--B.K. DeLongbkdelong@ceci.mit.eduOpenCourseWare+1.617.258.0360+1.617.877.3271 (cell)",0
"Re: 2002.06.00.00On Tue, 24 Sep 2002 ThosStew@aol.com wrote:--]Klez, most likely. It'll pick up your address and send mail to all your--]friends, and your strangers, as if coming from you. Nice way to lose friends--]and meet strangers. Better than typing gibberish (or Hemingway, but I repeat--]myself) in a bar with a double of scotch.Friends dont let friends use Outlook....even after a douly shot of thescotch with a chaser.All hands on the stinky one.-tom(the other tommeat)",0
"Re: [ILUG] Interesting article on free software licencesDavid Neary said:>> For the francophones among you, this article is a summary of the> reasons why most free software licences (and the GPL in> particular) are not valid in France.>> http://www.linuxfrench.net/article.php3?id_article=1043>> Google translation (hard to read most of the time, but good> enough to pick up the gist)>> http://makeashorterlink.com/?U26B52602>> In brief, in an international contract, when mentioning copyright,  you> must mention under which jurisdiction's laws the copyright> is applied. French law requires the licence to be available in> French (the GPL isn't). And French law requires that for a> contract to be valid, it must not breach existing law. Also under> French law, the copyright holder automatically retains the right> to change the licence, which means that French law is in conflict> with the GPL, which requires authorisation from all authors> before a licence change is allowed.>> Also there's some stuff about French consumer law forbidding sale> without guarantee of anything, so software delivered as-is> breaches consumer law in France. But I didn't really follow that.My French is a bit iffy these days, but if this is true, does it not alsonullify Microsoft, Adobe and WinZip licences amongst most others? These allclaim no liability, no guarantees (M$ say delivered ""with all faults"", soat least they are honest)./Ciaran.-- Irish Linux Users' Group: ilug@linux.iehttp://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.List maintainer: listmaster@linux.ie",0
"Re: [zzzzteana] Which Muppet Are You?> Apols if this has been posted before:> > http://www.pinkpaperclips.net/subs/quiz2.html>So, anyone who isn't Beaker?TimCMeep------------------------ Yahoo! Groups Sponsor ---------------------~-->4 DVDs Free +s&p Join Nowhttp://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM---------------------------------------------------------------------~->To unsubscribe from this group, send an email to:forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0
"Re: The Big JumpOn Mon, 9 Sep 2002, Ned Jackson Lovely wrote:> In '87 a guy named Gregory Robertson noticed a fellow parachutist Debbie > Williams had been knocked unconscious. He shifted so that he was head down,> hit about 200 mi/h, and caught up with her and pulled her chute with 10 seconds> to spare.IIRC it's ~180 km/s spreadeagled and ~210 km/h head-down.",0
"Adam dont job for no one, see.A groys gesheft zol er hobn mit shroyre vus er hot, zol men bay im nitfregn, un vos men fregt zol er nisht hobn, and if that aint the truthnutin is.",0
"Re: Electric car an Edsel...Sunday I drove from Portland down to the Woodburn Dragstrip to check out the NEDRA Nationals. <http://www.nedra.com/>The electric cars, motorcycles and dragsters had some great times and I ended up with a few pics and a nice deep burn...John Waylan (who was interviewed in Wired a few years back) pulled out a 14.4 second run in the quarter mile (91mph), on a battery pack that hasn't been broken in yet. He expects to break his record next year topping his 13.1sec/99mph run a couple of years ago. He's shooting for a 12 second run.John also took out a replica 1908 Oldsmobile for a respectable 47mph run. (Remember, we started out with electric cars.)Near the end of the day, Kilacycle took the track with an amazing 111mph run. Talk about a crotch rocket....Ross...On Saturday, August 31, 2002, at 01:45  AM, Adam L. Beberg wrote:> Personally I don't think Americans will ever go electric, there is too > much> testosterone linked to the auto as the male's primary form of > compesating> for other things. See.. now that's a job for you femanists, teach women > not> to fall for a fast environmentally destuctive vehicle, you should only > have> to rewrite 98% of the genome ;)",0
"Re: sed /s/United States/Roman Empire/g>>>>> ""R"" == R A Hettinga <rah@shipwright.com> writes:    R> At 9:34 PM -0700 on 9/20/02, Mr. FoRK wrote:    >> ""Free trade and free markets have proven their ability to lift    >> whole societies out of poverty"" I'm not a    >> socio-political/history buff - does anybody have some clear    >> examples?    R> You're probably living in one, or you wouldn't be able to post    R> here.Cool --- I wasn't aware that the US had lifted it's population out ofpoverty!  When did this happen?  I wonder where the media gets theidea that the wealth gap is widening and deepening...-- Gary Lawrence Murphy - garym@teledyn.com - TeleDynamics Communications - blog: http://www.auracom.com/~teledyn - biz: http://teledyn.com/ -  ""Computers are useless. They can only give you answers."" (Picasso)",0
"Re: why is decentralization worth worrying about?Rohit Khare wrote:> > Why am I so passionate about decentralization? Because I believe some of> today?s most profound problems with networked applications are caused by> centralization.> > Generically, a centralized political or economic system permits only one> answer to a question, while decentralization permits many separate> agents to hold different opinions of the same matter. In the specific> context of software, centralized variables can only contain one valid> value at a time. That limits us to only representing information A)> according to the beliefs of a single agency, and B) that changes more> slowly than it takes to propagate. Nevertheless, centralization is the> basis for today?s most popular architectural style for developing> network applications: client-server interaction using request-response> communication protocols.I think the ability to maintain an inconsistent databaseis key to decentralization. Databases enforce consistenty with every transaction.Bounded transactions, like an ATM, enforce consistency  by have some play with time and valueMost people keep inconsistent data in their heads, it's  called congnitive dissonance theoryMost businesses keep inconsistent data, documents, tationale  and ideas to support their work activities, it's called real life.I don't think it matters so much where it's located, i.e.decentralization. I think that decentralization is the workaroundfrom technical limitations.  The fallout being that the only wayinconsistent information spaces can be maintained is by protecting them through a set of trust barriers and boundaries. The local information when combined with the technicaltroubles of providing ""just enough"" forced synchronizationto remote information provide workable data consistenty, i.e.enforcing local constraints or ignoring global ones whenconcerns are more immedidate.  Tolerating temporary, irreconcilable deviations is howpeople cope, otherwise you'd be like Nick Gatsby unnecessarilypre-occupied with a spot of shaving cream on McKee's neckwho thinks that if he can just wipe that spot off that thewhole world would be a little more perfect and everything,including his pre-occupation with Daisy, would consistentlybe in its proper place.Greg",0
"RE: Recommended Viewingmore accurately: someone's dream changes reality for everyone, andeveryone's memory adjusts to perceive the new realities as a continuum,replete with new pasts and new memories.ever have dreams that ""create"" their own history to make their irrealitiesplausible and authentic feeling?ever notice how the feelings evoked in some dreams stick with you all day?i'm sure it's some neurochemical process initiated during the dream that isstill cycling thru - like a deja vu, triggered by memory processes, whereyou don't actually remember but you feel like you're remembering.ggggggggg-----Original Message-----From: fork-admin@xent.com [mailto:fork-admin@xent.com]On Behalf Of JohnHallSent: Monday, September 09, 2002 2:03 PMTo: FoRKSubject: RE: Recommended ViewingIsn't this the story where someone's ""Dream"" has the ability to changereality -- then you find the whole world is their dream?> -----Original Message-----> From: fork-admin@xent.com [mailto:fork-admin@xent.com] On Behalf OfGeege> Schuman> Sent: Monday, September 09, 2002 4:26 AM> To: John Evdemon> Cc: fork@spamassassin.taint.org> Subject: RE: Recommended Viewing>> Agreed, completely.  I totally grokked the notion of unintenedconsequence> with the original.>> -----Original Message-----> From: fork-admin@xent.com [mailto:fork-admin@xent.com]On Behalf OfJohn> Evdemon> Sent: Monday, September 09, 2002 7:03 AM> To: Fork@xent.com> Subject: Re: Recommended Viewing>>> On 8 Sep 2002 at 22:15, Geege Schuman wrote:>> > who watched Lathe of Heaven?  (A&E, 8 pm EDT)  who has seen> > the original?> >> By ""original"" if you are referring to the old PBS version, I likedthat> version much better.  Much more thought provoking.>>>",0
"RE: Java is for kiddiesAdam Beberg:>Considering 90% of the fake job posting I see are for embedded systems or >device drivers - C still rules the world.There is a lot of C++ in the embedded world. Withstatic object allocation and a few other programmingtechniques, performance differences disappear, butC++ gives a boost in development and maintainability.The real issue is compiler availability. Almost everyembedded platform has C cross-compilers. Many haveC++ compilers. But there is still a range ofplatforms that have the first but not the second. Orat least, that was the story a few years ago._________________________________________________________________Send and receive Hotmail on your mobile device: http://mobile.msn.com",0
"[IIU] Viruses and Bounced MailAll,Is it just me or has there been a massive increase in the amount of email being falsely bounced around the place? I've already received email from a number of people I don't know, asking why I am sending them email. These can be explained by servers from Russia and elsewhere. Coupled with the false emails I received myself, it's really starting to annoy me. Am I the only one seeing an increase in recent weeks?Martin========================================================================Martin Whelan | Déise Design | www.deisedesign.com | Tel : 086-8888975"" Our core product Déiseditor © allows organisations to publish information to their web site in a fast and cost effective manner. There is no need for a full time web developer, as the site can be easily updated by the organisations own staff.Instant updates to keep site information fresh. Sites which are updated regularly bring users back. Visit www.deisedesign.com/deiseditor.html for a demonstration ""Déiseditor © "" Managing Your Information ""========================================================================_______________________________________________IIU mailing listIIU@iiu.taint.orghttp://iiu.taint.org/mailman/listinfo/iiu",0
